#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;;
EVTDESC190042;The War of Independence has been won. I am free!;La Guerre d'Indépendance vient d'être remportée. Je suis libre!;Der Unabhängigkeitskrieg ist gewonnen worden. Ich bin frei!;The War of Independence has been won. I am free!;The War of Independence has been won. I am free!;;;;;;;x;;;;;
EVTOPTA190042;Excellent;Excellente proposition !;Wunderbar;Excellent;Excellent;;;;;;;x;;;;;
EVTDESC190043;Marriage event. You should not be seeing this.;Event Mariage. Vous ne devriez pas voir ceci.;Ehe-Ereignis. Sie sollten das nicht sehen;Marriage event. You should not be seeing this.;Marriage event. You should not be seeing this.;;;;;;;x;;;;;
EVTOPTA190043;Stop looking at the event!;Arrêtez de regardez les events!;Hören Sie auf, auf das Ereignis zu schauen!;Stop looking at the event!;Stop looking at the event!;;;;;;;x;;;;;
EVTTOOLTIP190043;A spouse will be found.;Une épouse va être trouvée. ;Ein Gatte wird gefunden.;A spouse will be found.;A spouse will be found.;;;;;;;x;;;;;
EVTDESC75114;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;[From.GetTitledFirstName] m'a cru lorsque j'ai dit [From.GetHerHim] je n'ai jamais parlé à la fille qui m'a accusé de l'avoir violé.;[From.GetTitledFirstName] gluabte mir als ich [From.GetHerHim] erzählte, das Ich nie mit der Frau gespreochen habe die mich der Vergewaltigung beschuldigt hat.;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;[From.GetTitledFirstName] believed me when I told [From.GetHerHim] I had never even talked to the girl who accused me of raping her.;;;;;;;x;;;;;
EVTOPTA75114;I got away with it;Je l'ai échappé belle;Ich kam damit davon …;I got away with it;I got away with it;;;;;;;x;;;;;
EVTDESC50027;This dank cell will be the death of me. I should ask [Root.Host.GetTitledFirstName] for better accomondations on account of my illness.;Celle cellule froide et humide va me tuer. Je devrais demander à [Root.Host.GetTitledFirstName] de meilleurs conditions de vie au regard de ma maladie.;Diese feuchte Zelle wird mein Tod sein. Ich sollte [Root.Host.GetTitledFirstName] nach einer besseren Unterkunft fragen, zumahl ich ja auch noch Krank bin.;This dank cell will be the death of me. I should ask [Root.Host.GetTitledFirstName] for better accomondations on account of my illness.;This dank cell will be the death of me. I should ask [Root.Host.GetTitledFirstName] for better accomondations on account of my illness.;;;;;;;x;;;;;
EVTDESC50028;My prisoner, [From.GetBestName], is clearly ill and is appealing for mercy and better accomondations so that [From.GetSheHe] may recover.;Mon prisonnier, [From.GetBestName], est clairement malade et il en appel à ma merci. Il m'implore de lui octroyer de meilleures conditions de vie pour qu'[From.GetSheHe] puisse recouvrir ses forces. ;Mein Gefangener, [From.GetBestName], ist ganz klar krank und bittet um Gnade einer besseren Unterkunft sodas [From.GetSheHe] genesen kann.;My prisoner, [From.GetBestName], is clearly ill and is appealing for mercy and better accomondations so that [From.GetSheHe] may recover.;My prisoner, [From.GetBestName], is clearly ill and is appealing for mercy and better accomondations so that [From.GetSheHe] may recover.;;;;;;;x;;;;;
EVTDESC190041;I have become strongly attached to the culture of [Root.Capital.GetName], dressing and speaking almost like a local.;Je suis devenu extrêmement attaché à la culture de [Root.Capital.GetName], je m'habille et parle presque comme un local.;Ich habe mich stark der [Root.Capital.GetName] Kultur angepaßt. Fast schon wie ein Einheimicher.;I have become strongly attached to the culture of [Root.Capital.GetName], dressing and speaking almost like a local.;I have become strongly attached to the culture of [Root.Capital.GetName], dressing and speaking almost like a local.;;;;;;;x;;;;;
EVTOPTA190041;I feel like a [Root.Capital.Culture.GetName];Je me sens comme un [Root.Capital.Culture.GetName];Ich fühle mich wie ein [Root.Capital.Culture.GetName];I feel like a [Root.Capital.Culture.GetName];I feel like a [Root.Capital.Culture.GetName];;;;;;;x;;;;;
EVTOPTB190041;It is a passing fancy;C'est une lubie;Es ist eine vorübergehende Fantasie;It is a passing fancy;It is a passing fancy;;;;;;;x;;;;;
EVTDESC190036;The absence of crown laws has forced me to change my demesne laws.;L'absence de lois de la Couronne m'a focé à changer les lois de mon domesne.;Die Abwesenheit der Krone-Gesetze hat mich gezwungen, meine Eigenbesitz-Gesetze zu ändern;The absence of crown laws has forced me to change my demesne laws.;The absence of crown laws has forced me to change my demesne laws.;;;;;;;x;;;;;
EVTOPTA190036;So be it;Donc soyez le;So soll es sein!;So be it;So be it;;;;;;;x;;;;;
EVTDESC190037;I have converted to the true faith.;Je me suis converti à la Vrai Foi.;Ich habe mich zum wahren Glauben bekannt.;I have converted to the true faith.;I have converted to the true faith.;;;;;;;x;;;;;
EVTOPTA190037;It was the will of God;C'était la volonté de Dieu;Es war der Wille Gottes.;It was the will of God;It was the will of God;;;;;;;x;;;;;
EVTDESC110017;I should grant my newly acquired Duchy to a worthy vassal;Je devrait octroyer mon nouveau Duché à un vassal digne de le posséder;Ich sollte mein kürzlich erworbenes Herzogtum einem würdigen Vasallen gewähren;I should grant my newly acquired Duchy to a worthy vassal;I should grant my newly acquired Duchy to a worthy vassal;;;;;;;x;;;;;
EVTOPTA110017;Who to give it to...;A qui le donner…;So genommen so …;Who to give it to...;Who to give it to...;;;;;;;x;;;;;
EVTOPTA50015;No big loss;Pas une grande perte;Kein großer Verlust;No big loss;No big loss;;;;;;;x;;;;;
EVTDESC190035;My dishonorable reputation has resulted in my heir being almost equally poorly regarded by others.;Ma réputation peu honorable a rejailli sur mon héritier, les autres ont la même opinion de lui que de moi…;Mein unehrenhafter Ruf ist auf meinen Erben übergegangen, wodurch sie nun auch im schlechten Licht darstehen.;My dishonorable reputation has resulted in my heir being almost equally poorly regarded by others.;My dishonorable reputation has resulted in my heir being almost equally poorly regarded by others.;;;;;;;x;;;;;
EVTOPTA190035;Unfortunate;Infortuné;Unglücklich;;;;;;;;;x;;;;;
